-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|HOST|PORT |SERVICE|SCHEMA_NAME|TABLE_NAME|COLUMN_NAME                                                        |NUM_COLS|NUM_DISTINCT|LENGTH|COMPRESSION|INDEX_TYPE|DATA_TYPE       |ATTRIBUTE_TYPE   |LOADED|PAGEABLE|USED_FOR                                    |MEM_TOTAL_MB|MEM_INDEX_MB|MEM_PERS_MB|SCANNED_RECORDS|INDEX_LOOKUPS|LAST_LOAD_TIME     |
|any |30103|any    |SAPS4D     |EKKO      |FIXPO_ALLOW                                                        |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FOLLOWON_DOC_CAT                                                   |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FOLLOWON_DOC_TYPE                                                  |       1|           2|     4|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FORCE_CNT                                                          |       1|           2|     6|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FORCE_ID                                                           |       1|           2|    32|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FRGGR                                                              |       1|           5|     2|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.05|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FRGKE                                                              |       1|           4|     1|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.04|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FRGRL                                                              |       1|           3|     1|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|           5530|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FRGSX                                                              |       1|          27|     2|INDIRECT   |BLOCK     |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.08|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FRGZU                                                              |       1|          15|     8|INDIRECT   |BLOCK     |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.07|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FSH_ITEM_GROUP                                                     |       1|           2|     5|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FSH_OS_STG_CHANGE                                                  |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FSH_SNST_STATUS                                                    |       1|           2|     2|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FSH_TRANSACTION                                                    |       1|           2|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |FSH_VAS_LAST_ITEM                                                  |       1|           2|     5|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |GRWCU                                                              |       1|           9|     5|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.05|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |GWLDT                                                              |       1|           2|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |HANDOVERLOC                                                        |       1|           2|    10|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |HASHCAL                                                            |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |HASHCAL_BDAT                                                       |       1|           2|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |HASHCAL_EXISTS                                                     |       1|           2|     4|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |HIERARCHY_EXISTS                                                   |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |IHRAN                                                              |       1|           2|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |IHREZ                                                              |       1|        3088|    12|SPARSE     |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.04|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |INCO1                                                              |       1|           9|     3|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.03|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |INCO2                                                              |       1|          21|    28|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.03|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |INCO2_L                                                            |       1|          21|    70|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.03|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |INCO3_L                                                            |       1|           2|    70|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |INCOV                                                              |       1|           4|     4|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.02|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |INTRA_EXCL                                                         |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |INTRA_REL                                                          |       1|           3|     1|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |ISAGED                                                             |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |KALSM                                                              |       1|          21|     6|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.06|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |KDATB                                                              |       1|           2|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |KDATE                                                              |       1|           2|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |KEY_ID                                                             |       1|           2|    16|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |KEY_ID_ALLOW                                                       |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |KNOWN_INDEX                                                        |       1|           2|     1|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        0.01|         0.0|          0|              0|            0|2021/08/30 23:14:55|
|any |30103|any    |SAPS4D     |EKKO      |KNUMV                                                              |       1|      165665|    10|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                            |        1.03|         0.0|          0|              0|            0|2021/08/30 23:14:55|
