--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SNAPSHOT_TIME      |SAMPLES|PCT  |HOST    |PORT |NM|STATEMENT_HASH                  |THREAD_TYPE|THREAD_STATE            |LOCK_NAME                     |THREAD_METHOD             |THREAD_DETAIL                                                                                                                                                                                                                                                  |DB_USER|APP_NAME |APP_USER    |APP_SOURCE                           |LOCKS_OWNED|CLIENT_IP     |ROOT_STATEMENT_HASH             |
|2021/08/31 07:30:00|     16| 6.47|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |WorkerJob                 |worker H4P::SAPS4D:MATDOCen (merging)                                                                                                                                                                                                                          |SAPS4D |ABAP:S4P |ASANGHERA   |CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.61 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:30:00|     16| 6.47|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |WorkerJob                 |worker H4P::SAPS4D:MATDOCen (merging)                                                                                                                                                                                                                          |SAPS4D |ABAP:S4P |1400-AUTOLBL|CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.85 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:30:00|     16| 6.47|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |PredicateEvaluatorJob     |PredicateEvaluatorJob                                                                                                                                                                                                                                          |SAPS4D |ABAP:S4P |JMETZ       |CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.61 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:30:00|     15| 6.07|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |PredicateEvaluatorJob     |PredicateEvaluatorJob                                                                                                                                                                                                                                          |SAPS4D |ABAP:S4P |ROBROWNING  |CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.62 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:30:00|      9| 3.64|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |PredicateEvaluatorJob     |PredicateEvaluatorJob                                                                                                                                                                                                                                          |SAPS4D |ABAP:S4P |DHOMER      |CL_MM_IM_OUTPUT_CALLBACK======CP:655 |           |10.240.129.50 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:30:00|      8| 3.23|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |PredicateEvaluatorJob     |PredicateEvaluatorJob                                                                                                                                                                                                                                          |SAPS4D |ABAP:S4P |TBYNUM      |CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.130|7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:30:00|      7| 2.83|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |PredicateEvaluatorJob     |PredicateEvaluatorJob                                                                                                                                                                                                                                          |SAPS4D |ABAP:S4P |TROBERT     |CL_SUID_ORGANIZATION==========CP:986 |           |10.240.129.61 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:30:00|      7| 2.83|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |PredicateEvaluatorJob     |PredicateEvaluatorJob                                                                                                                                                                                                                                          |SAPS4D |ABAP:S4P |SPETROVIC   |CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.85 |7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:30:00|      7| 2.83|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |WorkerJob                 |worker H4P::SAPS4D:MATDOCen (9%)                                                                                                                                                                                                                               |SAPS4D |ABAP:S4P |TBYNUM      |CL_FDT_PERSISTENCE============CP:7161|           |10.240.129.130|7e7a8751eb44e4b10d1380c2d2b22216|
|2021/08/31 07:30:00|      5| 2.02|s4hd1prd|30103|an|7e7a8751eb44e4b10d1380c2d2b22216|JobWorker  |Running                 |?                             |WorkerJob                 |worker H4P::SAPS4D:MATDOCen (9%)                                                                                                                                                                                                                               |SAPS4D |ABAP:S4P |TROBERT     |CL_SUID_ORGANIZATION==========CP:986 |           |10.240.129.61 |7e7a8751eb44e4b10d1380c2d2b22216|
