---------------------------------------------------------------------------------
|PARAMETERS                 |NUM|LAST_TIME          |SOURCE                     |
|'400', '490613722920210001'|  6|2021/08/31 01:29:34|M_EXPENSIVE_STATEMENTS     |
|'400', '500107224820210001'|  6|2021/08/31 01:29:26|M_EXPENSIVE_STATEMENTS     |
|'400', '500107223520210001'|  6|2021/08/31 01:28:42|M_EXPENSIVE_STATEMENTS     |
|'400', '490613744320210001'|  6|2021/08/31 02:16:18|M_EXPENSIVE_STATEMENTS     |
|'400', '500107227820210001'|  6|2021/08/31 02:16:18|M_EXPENSIVE_STATEMENTS     |
|'400', '490613744220210001'|  6|2021/08/31 02:16:07|M_EXPENSIVE_STATEMENTS     |
|'400', '490613744120210001'|  6|2021/08/31 02:15:52|M_EXPENSIVE_STATEMENTS     |
|'400', '490613744020210001'|  6|2021/08/31 02:15:45|M_EXPENSIVE_STATEMENTS     |
|'400', '490613729920210001'|  6|2021/08/31 02:15:38|M_EXPENSIVE_STATEMENTS     |
|'400', '490613729820210001'|  6|2021/08/31 02:15:34|M_EXPENSIVE_STATEMENTS     |
|'400', '500107227720210001'|  6|2021/08/31 02:15:22|M_EXPENSIVE_STATEMENTS     |
|'400', '500107227620210001'|  6|2021/08/31 02:14:32|M_EXPENSIVE_STATEMENTS     |
|'400', '500107227520210001'|  6|2021/08/31 02:14:09|M_EXPENSIVE_STATEMENTS     |
|'400', '500107228020210001'|  6|2021/08/31 02:01:00|M_EXPENSIVE_STATEMENTS     |
|'400', '500107212920210001'|  6|2021/08/31 01:55:23|M_EXPENSIVE_STATEMENTS     |
|'400', '500107219920210001'|  6|2021/08/31 01:55:09|M_EXPENSIVE_STATEMENTS     |
|'400', '500107227420210001'|  6|2021/08/31 01:54:47|M_EXPENSIVE_STATEMENTS     |
|'400', '500107227320210001'|  6|2021/08/31 01:54:32|M_EXPENSIVE_STATEMENTS     |
|'400', '500107227220210001'|  6|2021/08/31 01:54:17|M_EXPENSIVE_STATEMENTS     |
|'400', '500107227120210001'|  6|2021/08/31 01:54:03|M_EXPENSIVE_STATEMENTS     |
|'400', '500107227020210001'|  6|2021/08/31 01:52:48|M_EXPENSIVE_STATEMENTS     |
