SNAPSHOT_TIME;HOST;PORT;SESS_NUM;TOTAL_TH;WAIT_TH;BUSY_TH;SQL_WAIT_TH;SQL_BUSY_TH;JOB_WAIT_TH;JOB_BUSY_TH;REQ_WAIT_TH;REQ_BUSY_TH;OTH_WAIT_TH;OTH_BUSY_TH;SQL_WAIT_TH_S;SQL_BUSY_TH_S;JOB_WAIT_TH_S;JOB_BUSY_TH_S;REQ_WAIT_TH_S;REQ_BUSY_TH_S;OTH_WAIT_TH_S;OTH_BUSY_TH_S
2021/08/30 07:04:00;s4hd1prd;30.103;      2;     26;      8;     18;      2;      0;      6;     18;      0;      0;      0;      0;   1.00;   0.00;   3.00;  12.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:06:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   2.00;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:10:00;s4hd1prd;30.103;      3;     43;     10;     33;      3;      0;      7;     33;      0;      0;      0;      0;   1.00;   0.00;   2.75;   6.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:12:00;s4hd1prd;30.103;      2;     23;      6;     17;      2;      0;      4;     17;      0;      0;      0;      0;   1.00;   0.00;   2.50;  12.25;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:14:00;s4hd1prd;30.103;      4;     75;     18;     57;      4;      0;     14;     57;      0;      0;      0;      0;   1.00;   0.00;   3.50;  15.12;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:16:00;s4hd1prd;30.103;      2;     25;      8;     17;      2;      0;      6;     17;      0;      0;      0;      0;   1.00;   0.00;   2.00;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:18:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:20:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:22:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:26:00;s4hd1prd;30.103;      2;     24;      8;     17;      2;      0;      7;     17;      0;      0;      0;      0;   1.00;   0.00;   4.50;   7.66;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:28:00;s4hd1prd;30.103;      2;     34;      6;     28;      2;      0;      4;     28;      0;      0;      0;      0;   1.00;   0.00;   2.00;  14.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:30:00;s4hd1prd;30.103;      3;     50;     12;     38;      3;      0;      9;     38;      0;      0;      0;      0;   1.00;   0.00;   2.75;   9.33;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:32:00;s4hd1prd;30.103;      3;     44;     11;     33;      3;      0;      8;     33;      0;      0;      0;      0;   1.00;   0.00;   3.00;  14.33;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:34:00;s4hd1prd;30.103;      2;     40;      8;     32;      2;      0;      6;     32;      0;      0;      0;      0;   1.00;   0.00;   1.50;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:36:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  11.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:38:00;s4hd1prd;30.103;      2;     22;      5;     17;      2;      0;      4;     17;      0;      0;      0;      0;   1.00;   0.00;   3.33;  13.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:40:00;s4hd1prd;30.103;      2;     41;      9;     32;      2;      0;      7;     32;      0;      0;      0;      0;   1.00;   0.00;   3.25;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:42:00;s4hd1prd;30.103;      1;     19;      4;     15;      1;      0;      3;     15;      0;      0;      0;      0;   1.00;   0.00;   3.00;  15.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:46:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   2.00;   8.50;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:48:00;s4hd1prd;30.103;      1;      3;      2;      1;      1;      0;      1;      1;      0;      0;      0;      0;   1.00;   0.00;   1.00;   1.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:52:00;s4hd1prd;30.103;      1;     20;      4;     16;      1;      0;      3;     16;      0;      0;      0;      0;   1.00;   0.00;   3.00;  16.00;   0.00;   0.00;   0.00;   0.00
2021/08/30 07:54:00;s4hd1prd;30.103;      1;     21;      5;     16;      1;      0;      4;     16;      0;      0;      0;      0;   1.00;   0.00;   4.00;  16.00;   0.00;   0.00;   0.00;   0.00
