---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|HOST|PORT |SERVICE|SCHEMA_NAME|TABLE_NAME      |COLUMN_NAME              |NUM_COLS|NUM_DISTINCT|LENGTH|COMPRESSION|INDEX_TYPE|DATA_TYPE       |ATTRIBUTE_TYPE   |LOADED|PAGEABLE|USED_FOR                            |MEM_TOTAL_MB|MEM_INDEX_MB|MEM_PERS_MB|SCANNED_RECORDS|INDEX_LOOKUPS|LAST_LOAD_TIME     |
|any |30043|any    |SAPABAP1   |ACDOCA          |ANLN2                    |       3|           0|     4|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |ARBID                    |      32|          -1|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.56|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |ARBID                    |       1|           1|     8|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |         0.0|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |ARBID                    |       3|           0|     8|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |ARTPR                    |       3|           0|     2|DEFAULT    |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.01|         0.0|          0|              0|            0|2021/07/01 15:03:34|
|any |30043|any    |SAPABAP1   |ACDOCA          |ARTPR                    |      32|          -1|     2|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.56|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |ARTPR                    |       1|           1|     2|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |         0.0|         0.0|          0|              0|            0|2021/07/09 15:12:21|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUFNR                    |       2|           2|    12|RLE        |NONE      |NVARCHAR(STRING)|                 |     1|NO      |                                    |        0.42|         0.0|          0|              0|            0|2021/07/09 15:15:05|
|any |30043|any    |SAPABAP1   |ACDOCA          |AUFNR                    |      28|          -1|    12|RLE        |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.93|         0.0|          0|              0|            0|                   |
|any |30043|any    |SAPABAP1   |ACDOCA          |AUFNR                    |       3|          -1|    12|PREFIXED   |NONE      |NVARCHAR(STRING)|                 |     0|NO      |                                    |        0.01|         0.0|          0|              0|            0|                   |
