----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SNAPSHOT_TIME      |NUM|HOST|PORT |SCHEMA_NAME|LOCATION              |TABLES                                            |STATEMENT_HASH                  |PLAN_ID  |STORE |ENGINES|DB_USER|DIST |P  |I|PST|TP|RC|INV_REASON                             |EXECUTIONS|RECORDS|REC_PER_EXEC|ELAPSED_MS|ELA_PER_EXEC_MS|ELA_PER_REC_MS|EXEC_PER_EXEC_MS|PREPS|PREP_MS|LOCK_WAIT_MS|LOCK_PER_EXEC_MS|CURSOR_MS|CUR_PER_EXEC_MS|OPEN_MS|OPEN_PER_EXEC_MS|FETCH_MS|FETCH_PER_EXEC_MS|NETWORK_REQ|NW_REQ_PER_EXEC|NW_SIZE_GB|NW_PER_EXEC_MB|NETWORK_MS|NW_PER_EXEC_MS|MEMORY_GB|MEM_PER_EXEC_MB|THREADS|THR_PER_EXEC|APP_NAME|APP_SOURCE                           |STATEMENT_STRING                                  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|2021/08/30 12:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|456940003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|         1|      1|           1|      6960|        6960.19|       6960.19|         6960.19|    0|      0|           0|               0|     6960|        6960.42|   6960|          6959.8|       0|             0.03|          0|              0|         0|             0|         0|             0|     3.66|         3752.1|   1246|      1246.0|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 11:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 2|RECOMPILE TRIGGERED DUE TO PARAM VALUES|      1159|   1159|           1|   3586982|        3094.89|       3094.89|         3094.89|    0|      0|           0|               0|  3587610|        3095.43|3586621|         3094.58|      43|             0.03|          0|              0|         0|             0|         0|             0|  2113.89|        1867.66| 532778|      459.68|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 11:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|456940003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|         6|      6|           1|     62068|       10344.71|      10344.71|        10344.71|    0|      0|           0|               0|    62070|       10344.96|  62066|        10344.32|       0|             0.03|          0|              0|         0|             0|         0|             0|    21.98|        3751.89|   4745|      790.83|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 10:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 2|RECOMPILE TRIGGERED DUE TO PARAM VALUES|      1346|   1346|           1|   5027515|        3735.15|       3735.15|         3735.15|    0|      0|           0|               0|  5029688|        3736.76|5027095|         3734.84|      50|             0.03|          0|              0|         0|             0|         0|             0|  2423.31|        1843.58| 543687|      403.92|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 09:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 1|RECOMPILE TRIGGERED DUE TO PARAM VALUES|      1090|   1090|           1|   2251667|        2065.74|       2065.74|         2065.74|    0|      0|           0|               0|  2252332|        2066.35|2251366|         2065.47|      34|             0.03|          0|              0|         0|             0|         0|             0|  2038.79|        1915.34| 644404|      591.19|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 09:00:00|  2|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|456940003|COLUMN|any    |any    |    0|any| |G  |SE| 1|RECOMPILE TRIGGERED DUE TO PARAM VALUES|        25|     25|           1|    161895|        6475.81|       6475.81|         6469.57|    2|    156|           0|               0|   161746|        6469.83| 161730|          6469.2|       1|             0.03|          0|              0|         0|             0|         0|             0|    93.48|        3829.08|  34363|     1374.52|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 08:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|      1400|   1400|           1|   2490748|         1779.1|        1779.1|          1779.1|    0|      0|           0|               0|  2491116|        1779.36|2490383|         1778.84|      41|             0.02|          0|              0|         0|             0|         0|             0|  2667.59|        1951.15| 870122|      621.51|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 07:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 1|RECOMPILE TRIGGERED DUE TO PARAM VALUES|      1768|   1768|           1|   3130153|        1770.44|       1770.44|         1770.44|    0|      0|           0|               0|  3130703|        1770.75|3129692|         1770.18|      53|             0.02|          0|              0|         0|             0|         0|             0|  3373.41|        1953.83|1103644|      624.23|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 06:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       468|    468|           1|    805805|         1721.8|        1721.8|          1721.8|    0|      0|           0|               0|   805953|        1722.12| 805686|         1721.55|      14|             0.02|          0|              0|         0|             0|         0|             0|   890.69|        1948.87| 297516|      635.71|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 05:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|       287|    287|           1|    489426|        1705.31|       1705.31|         1705.31|    0|      0|           0|               0|   489551|        1705.75| 489352|         1705.05|       9|             0.03|          0|              0|         0|             0|         0|             0|   558.67|        1993.31| 183296|      638.66|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 04:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|        97|     97|           1|    163492|        1685.48|       1685.48|         1685.48|    0|      0|           0|               0|   163525|        1685.82| 163467|         1685.23|       3|             0.03|          0|              0|         0|             0|         0|             0|   186.85|        1972.52|  61424|      633.23|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
|2021/08/30 03:00:00|  1|any |30103|SAPS4D     |(s4hd1prd:30103, 0, 3)|SAPS4D.EKKO(27), SAPS4D.MATDOC(28), SAPS4D.MARA(20|7e7a8751eb44e4b10d1380c2d2b22216|137410003|COLUMN|any    |any    |    0|any| |G  |SE| 0|RECOMPILE TRIGGERED DUE TO PARAM VALUES|        87|     87|           1|    144185|         1657.3|        1657.3|          1657.3|    0|      0|           0|               0|   144211|        1657.59| 144163|         1657.04|       3|             0.03|          0|              0|         0|             0|         0|             0|   174.15|        2049.86|  55651|      639.66|ABAP:S4P|CL_FDT_PERSISTENCE============CP:6040|SELECT "SAPCLIENT" , "MATDOCKEY" , "MATERIALDOCUME|
