-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SCHEMA_NAME|TABLE_NAME|INDEX_NAME                                                                             |CONSTRAINT|INDEX_TYPE           |COLUMN_NAME                                                      |SPAN|MEMORY_MB|NUM_DISTINCT|
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=050856fe6a92~ty=alph06~a=kdpos~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=050856fe6a92~ty=alph06~a=kdpos~t=matdoc~cv=alphanum    |   1|     0.27|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=05ac680b6812~ty=alph10~a=ebeln~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=05ac680b6812~ty=alph10~a=ebeln~t=matdoc~cv=alphanum    |   1|     0.43|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=095253e416ec~ty=alph10~a=prctr~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=095253e416ec~ty=alph10~a=prctr~t=matdoc~cv=alphanum    |   1|     0.33|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=13de0f615b48~ty=alph10~a=kostl~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=13de0f615b48~ty=alph10~a=kostl~t=matdoc~cv=alphanum    |   1|     0.27|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=1691ce54333b~ty=date27~a=cpudt~t=matdoc~cv=longdate$    |          |INVERTED VALUE       |esh:ca~id=1691ce54333b~ty=date27~a=cpudt~t=matdoc~cv=longdate    |   1|     0.31|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=379182e362e3~ty=alph06~a=mat_kdpos~t=matdoc~cv=alphanum$|          |INVERTED VALUE       |esh:ca~id=379182e362e3~ty=alph06~a=mat_kdpos~t=matdoc~cv=alphanum|   1|     0.28|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=4eecc03ae409~ty=alph10~a=kdauf~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=4eecc03ae409~ty=alph10~a=kdauf~t=matdoc~cv=alphanum    |   1|      0.3|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=50b7cade95e3~ty=alph05~a=ebelp~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=50b7cade95e3~ty=alph05~a=ebelp~t=matdoc~cv=alphanum    |   1|     0.38|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=585b1976f418~ty=alph10~a=xabln~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=585b1976f418~ty=alph10~a=xabln~t=matdoc~cv=alphanum    |   1|     0.22|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=5b470768a201~ty=alph10~a=kunnr~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=5b470768a201~ty=alph10~a=kunnr~t=matdoc~cv=alphanum    |   1|     0.38|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=5c08d31583b8~ty=alph10~a=lifnr~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=5c08d31583b8~ty=alph10~a=lifnr~t=matdoc~cv=alphanum    |   1|     0.31|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=6ea1e2eee943~ty=alph10~a=mat_kdauf~t=matdoc~cv=alphanum$|          |INVERTED VALUE       |esh:ca~id=6ea1e2eee943~ty=alph10~a=mat_kdauf~t=matdoc~cv=alphanum|   1|      0.3|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=721e268809aa~ty=alph04~a=rspos~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=721e268809aa~ty=alph04~a=rspos~t=matdoc~cv=alphanum    |   1|     0.28|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=7b995fd25fc0~ty=alph10~a=sakto~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=7b995fd25fc0~ty=alph10~a=sakto~t=matdoc~cv=alphanum    |   1|     0.35|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=97f3abef3df2~ty=date27~a=bldat~t=matdoc~cv=longdate$    |          |INVERTED VALUE       |esh:ca~id=97f3abef3df2~ty=date27~a=bldat~t=matdoc~cv=longdate    |   1|     0.35|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=9eea086c4fb1~ty=date27~a=budat~t=matdoc~cv=longdate$    |          |INVERTED VALUE       |esh:ca~id=9eea086c4fb1~ty=date27~a=budat~t=matdoc~cv=longdate    |   1|     0.32|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=a0fc6ec67234~ty=alph10~a=le_vbeln~t=matdoc~cv=alphanum$ |          |INVERTED VALUE       |esh:ca~id=a0fc6ec67234~ty=alph10~a=le_vbeln~t=matdoc~cv=alphanum |   1|     0.53|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=a77a83f6c77d~ty=alph04~a=zeile~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=a77a83f6c77d~ty=alph04~a=zeile~t=matdoc~cv=alphanum    |   1|     0.35|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=b34cb6ae86a3~ty=alph10~a=mblnr~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=b34cb6ae86a3~ty=alph10~a=mblnr~t=matdoc~cv=alphanum    |   1|     0.96|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=bf81412a1a01~ty=alph10~a=rsnum~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=bf81412a1a01~ty=alph10~a=rsnum~t=matdoc~cv=alphanum    |   1|     0.39|            |
|SAPS4D     |MATDOC    |CONCAT ATTRIBUTE<br>$esh:ca~id=e85c95269871~ty=alph04~a=mjahr~t=matdoc~cv=alphanum$    |          |INVERTED VALUE       |esh:ca~id=e85c95269871~ty=alph04~a=mjahr~t=matdoc~cv=alphanum    |   1|     0.22|            |
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |APLZL                                                            |   1|     0.11|         104|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |BERID                                                            |   1|     0.17|          37|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |BSTAUS_CG                                                        |   1|     0.07|          12|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |BSTAUS_SG                                                        |   1|     0.07|          12|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |ERFME                                                            |   1|     0.14|          47|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |HEADER_COUNTER                                                   |   1|     0.06|           2|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |LBBSA_CID                                                        |   1|     0.07|           9|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |LBBSA_SID                                                        |   1|     0.06|           9|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |LFPOS                                                            |   1|     0.16|        1433|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |LGNUM                                                            |   1|     0.33|          30|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |LGORT                                                            |   1|     0.51|         696|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |LGORT_CID                                                        |   1|      0.3|         690|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |LGORT_SID                                                        |   1|     0.51|         696|
|SAPS4D     |MATDOC    |implicit                                                                               |          |INVERTED VALUE       |MAT_KDPOS                                                        |   1|     0.12|         584|
