SNAPSHOT_TIME;HOST;TABLE_NAME;PART_CNT;ROW_NUM;ROW_PCT;TOTAL_GB;MEM_PCT;MAIN_GB;DELTA_GB;DRAM_GB;PMEM_GB;MERGES;LOADED;DISK_GB;PAGE_COUNT
2021/07/12 21:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    132.03; 97.18;    131.98;      0.03;    132.03;      0.00;  0;PARTIALLY;     51.90;      6895
2021/07/12 21:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444466353;  4.15;      3.82;  2.81;      3.63;      0.18;      3.82;      0.00;  0;PARTIALLY;      7.35;      3077
2021/07/12 22:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    132.03; 97.18;    131.98;      0.03;    132.03;      0.00;  0;PARTIALLY;;
2021/07/12 22:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444466353;  4.15;      3.82;  2.81;      3.63;      0.18;      3.82;      0.00;  0;PARTIALLY;;
2021/07/12 23:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    132.03; 97.18;    131.98;      0.03;    132.03;      0.00;  0;PARTIALLY;;
2021/07/12 23:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444466661;  4.15;      3.82;  2.81;      3.63;      0.18;      3.82;      0.00;  0;PARTIALLY;;
2021/07/13 00:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    132.03; 97.18;    131.98;      0.03;    132.03;      0.00;  0;PARTIALLY;;
2021/07/13 00:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444466661;  4.15;      3.82;  2.81;      3.63;      0.18;      3.82;      0.00;  0;PARTIALLY;;
2021/07/13 01:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    132.03; 97.18;    131.98;      0.03;    132.03;      0.00;  0;PARTIALLY;;
2021/07/13 01:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444466661;  4.15;      3.82;  2.81;      3.63;      0.18;      3.82;      0.00;  0;PARTIALLY;;
2021/07/13 02:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    132.03; 97.18;    131.98;      0.03;    132.03;      0.00;  0;PARTIALLY;;
2021/07/13 02:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444466661;  4.15;      3.82;  2.81;      3.63;      0.18;      3.82;      0.00;  0;PARTIALLY;;
2021/07/13 03:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    132.03; 97.18;    131.98;      0.03;    132.03;      0.00;  0;PARTIALLY;     51.90;      6895
2021/07/13 03:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444466661;  4.15;      3.82;  2.81;      3.63;      0.18;      3.82;      0.00;  0;PARTIALLY;      7.35;      3077
2021/07/13 04:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    132.03; 97.18;    131.98;      0.03;    132.03;      0.00;  0;PARTIALLY;;
2021/07/13 04:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444466661;  4.15;      3.82;  2.81;      3.63;      0.18;      3.82;      0.00;  0;PARTIALLY;;
2021/07/13 05:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    132.03; 97.18;    131.98;      0.03;    132.03;      0.00;  0;PARTIALLY;;
2021/07/13 05:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444466661;  4.15;      3.82;  2.81;      3.63;      0.18;      3.82;      0.00;  0;PARTIALLY;;
2021/07/13 06:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    132.03; 97.18;    131.98;      0.03;    132.03;      0.00;  0;PARTIALLY;;
